,avg_tripduration,total_trips,unique_start_stations,unique_end_stations,usertype_Customer,usertype_Subscriber
2023-01-01,1328.9984969385118,50642,5639,1999,15842,34800
2023-01-02,995.2384367507861,58240,5751,2047,13691,44549
2023-01-03,818.4040865148983,51789,5592,2018,5978,45811
2023-01-04,884.5138712373712,74453,5988,2078,10636,63817
2023-01-05,780.1550629420193,71440,5910,2066,8897,62543
2023-01-06,801.7788380449576,64752,5853,2042,8710,56042
2023-01-07,923.1486659445886,59158,5722,2033,10410,48748
2023-01-08,948.1979586592478,49454,5590,2007,8313,41141
2023-01-09,745.0038907680464,61588,5753,2041,6156,55432
2023-01-10,728.5146372778395,66674,5773,2061,6426,60248
2023-01-11,732.0045878369967,67100,5766,2036,6017,61083
2023-01-12,733.1049936925008,51491,5579,2027,5083,46408
2023-01-13,798.1595047742094,65274,5851,2058,7702,57572
2023-01-14,849.128617740536,43527,5336,1986,6300,37227
2023-01-15,897.0338021373257,41091,5281,1936,6650,34441
2023-01-16,822.2681378383334,49763,5522,2015,6724,43039
2023-01-17,740.2429768801055,64871,5734,2034,6148,58723
2023-01-18,818.2580470985611,75820,5858,2063,7474,68346
2023-01-19,712.9262692326915,32358,5105,1930,2437,29921
2023-01-20,768.1467994138441,67532,5861,2065,7782,59750
2023-01-21,902.2694561631051,58192,5687,2046,9805,48387
2023-01-22,912.7109262381371,39438,5257,1955,6256,33182
2023-01-23,701.5257703075679,38417,5234,1974,2722,35695
2023-01-24,781.8969864183651,67647,5840,2080,6243,61404
2023-01-25,794.0922648267381,41868,5308,1963,3147,38721
2023-01-26,748.2434992311844,64439,5728,2055,6023,58416
2023-01-27,772.6487294860025,65614,5826,2073,7606,58008
2023-01-28,923.2283182074485,66818,5753,2065,13003,53815
2023-01-29,898.4504978015257,58040,5715,2050,10630,47410
2023-01-30,776.7239760812528,70436,5870,2082,7939,62497
2023-01-31,636.3385874550248,57203,5568,2048,4787,52416
2023-02-01,741.2307389572927,60429,5171,2256,4739,55690
2023-02-02,698.4236598165407,63159,5272,2284,5323,57836
2023-02-03,703.5094583658653,38062,4682,2112,2954,35108
2023-02-04,761.7888647409545,24810,4147,1978,2602,22208
2023-02-05,879.7681018434779,49842,5109,2261,7743,42099
2023-02-06,735.8554839790639,64834,5411,2303,6164,58670
2023-02-07,698.2828591118164,66106,5365,2282,5709,60397
2023-02-08,785.9517344168582,78636,5575,2342,7901,70735
2023-02-09,756.0079983159475,76063,5535,2348,7928,68135
2023-02-10,874.0532870022787,83968,5704,2402,11614,72354
2023-02-11,956.3970186414372,63800,5403,2321,11436,52364
2023-02-12,850.0477280730433,55662,5300,2305,9174,46488
2023-02-13,789.7361470710551,72025,5529,2342,7715,64310
2023-02-14,791.7921501643507,78221,5627,2334,8512,69709
2023-02-15,855.8427966696843,89040,5750,2407,10741,78299
2023-02-16,807.4888674560289,74622,5623,2346,8469,66153
2023-02-17,687.9570381725335,49586,5248,2291,5151,44435
2023-02-18,848.4978344290297,52125,5297,2306,9015,43110
2023-02-19,904.5314878034167,51307,5286,2304,9812,41495
2023-02-20,1002.3236531519599,70881,5687,2387,14021,56860
2023-02-21,730.7885639820485,56225,5290,2299,5683,50542
2023-02-22,698.8123141210962,54430,5227,2288,4854,49576
2023-02-23,789.8462900991952,65595,5457,2363,6674,58921
2023-02-24,740.3173430621979,59602,5384,2322,6880,52722
2023-02-25,798.3885172214218,43325,5060,2244,5989,37336
2023-02-26,863.198749805843,54676,5349,2325,9210,45466
2023-02-27,740.7936895403222,58386,5397,2331,5351,53035
2023-02-28,604.8842804806441,40550,4858,2189,2944,37606
