,avg_tripduration,total_trips,unique_start_stations,unique_end_stations,usertype_Customer,usertype_Subscriber
2013-06-01,2507.8601238248107,8722,328,327,3583,5139
2013-06-02,2066.265919479056,15971,332,332,10736,5235
2013-06-03,1938.5909449855226,7598,325,324,2985,4613
2013-06-04,3116.571980737549,15782,329,330,6954,8828
2013-06-05,2468.71695347355,15690,331,331,7071,8619
2013-06-06,1748.5698872785829,12420,331,331,5492,6928
2013-06-07,1196.7096247960849,1226,278,291,335,891
2013-06-08,1689.7724773699117,18007,330,333,11492,6515
2013-06-09,1906.856422934297,21034,328,330,14852,6182
2013-06-10,2063.9343084423917,3897,315,314,1282,2615
2013-06-11,1483.4921403620197,12596,325,330,4398,8198
2013-06-12,1468.5696338195892,16795,328,329,6941,9854
2013-06-13,1147.2727045908184,8016,327,327,2546,5470
2013-06-14,1186.6390710748226,14942,331,331,5981,8961
2013-06-15,1427.9798633727858,25178,331,332,16599,8579
2013-06-16,1376.743649276154,21966,330,332,13972,7994
2013-06-17,1070.4531257948013,19659,331,331,7988,11671
2013-06-18,975.774701253279,13724,331,332,4967,8757
2013-06-19,1186.7641868942092,24142,331,332,8768,15374
2013-06-20,1097.6347404428072,26603,331,331,9074,17529
2013-06-21,1102.5133764331893,27997,330,331,10140,17857
2013-06-22,1308.5750828182097,29281,333,333,16001,13280
2013-06-23,1356.1958311063602,28065,333,333,14564,13501
2013-06-24,997.6764669498165,24251,334,334,6637,17614
2013-06-25,947.7091673554462,27827,334,334,6682,21145
2013-06-26,946.5972066849723,29499,333,333,6697,22802
2013-06-27,1064.0143009780554,24334,332,332,4978,19356
2013-06-28,998.8716658278812,27818,333,333,6110,21708
2013-06-29,1211.687594528283,29753,334,334,12233,17520
2013-06-30,1181.2996908747841,24909,333,334,10260,14649
2013-07-01,806.2996396396396,16651,327,327,2735,13916
2013-07-02,958.1295669377886,22745,327,327,4070,18675
2013-07-03,974.3284851811196,21864,326,326,4152,17712
2013-07-04,1273.1084385917763,22326,324,326,10773,11553
2013-07-05,1082.426609284864,21842,325,323,8175,13667
2013-07-06,1159.5757072360384,20467,324,324,8964,11503
2013-07-07,1118.2994090931288,20477,326,326,7867,12610
2013-07-08,1289.5298635207032,21615,326,326,4118,17497
2013-07-09,965.9312713486731,26641,325,326,4285,22356
2013-07-10,931.9172625524639,25732,326,326,4023,21709
2013-07-11,1009.7180652823852,24417,325,325,3688,20729
2013-07-12,938.1076502157214,19006,324,325,2758,16248
2013-07-13,1116.9396607833378,26119,325,325,7879,18240
2013-07-14,1161.7602690613583,29287,327,328,9863,19424
2013-07-15,919.0969396843493,28069,329,329,4288,23781
2013-07-16,907.7130554252396,29842,329,329,3960,25882
2013-07-17,880.1669721767594,30550,328,328,4127,26423
2013-07-18,862.8295403373861,28869,328,328,3578,25291
2013-07-19,880.2631717498401,26591,329,329,3751,22840
2013-07-20,1076.8692934567607,25278,327,328,7572,17706
2013-07-21,1122.4739413143216,30297,327,329,9732,20565
2013-07-22,882.0113553254552,25979,328,328,3557,22422
2013-07-23,944.2324870274277,32376,328,328,3991,28385
2013-07-24,935.5321652348955,35271,329,329,4716,30555
2013-07-25,896.2243919701455,31084,328,327,3656,27428
2013-07-26,940.0754329067006,34534,329,329,5490,29044
2013-07-27,1134.8639051432092,32470,328,329,10973,21497
2013-07-28,1052.6143865917986,23508,329,329,6879,16629
2013-07-29,941.4870972361449,34915,329,329,5237,29678
2013-07-30,949.6907912358707,37334,328,328,5095,32239
2013-07-31,923.5528300367677,37261,328,328,4964,32297
2013-08-01,802.6285132585163,20138,328,328,1590,18548
